"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km)";"Gezondheid en welzijn/Afstand tot apotheek (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Afstand tot consultatiebureau (km)";"Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 1 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 3 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 5 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 5 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 5 km (aantal)";"Horeca/Cafés en dergelijke/Afstand tot café e.d. (km)";"Horeca/Cafés en dergelijke/Aantal cafés e.d./Binnen 1 km (aantal)";"Horeca/Cafés en dergelijke/Aantal cafés e.d./Binnen 3 km (aantal)";"Horeca/Cafés en dergelijke/Aantal cafés e.d./Binnen 5 km (aantal)";"Horeca/Cafetaria's en dergelijke/Afstand tot cafetaria e.d. (km)";"Horeca/Cafetaria's en dergelijke/Aantal cafetaria's e.d./Binnen 1 km (aantal)";"Horeca/Cafetaria's en dergelijke/Aantal cafetaria's e.d./Binnen 3 km (aantal)";"Horeca/Cafetaria's en dergelijke/Aantal cafetaria's e.d./Binnen 5 km (aantal)";"Horeca/Restaurants/Afstand tot restaurant (km)";"Horeca/Restaurants/Aantal restaurants/Binnen 1 km (aantal)";"Horeca/Restaurants/Aantal restaurants/Binnen 3 km (aantal)";"Horeca/Restaurants/Aantal restaurants/Binnen 5 km (aantal)";"Groenvoorzieningen/Openbaar groen/Afstand tot openbaar groen totaal (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot park of plantsoen (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot dagrecreatief terrein (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot bos (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat. terrein totaal (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open droog nat. terrein (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat natuurlijk terrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot semi-openbaar groen totaal (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot sportterrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot volkstuin (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot verblijfsrecreatief terrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot begraafplaats (km)";"Groenvoorzieningen/Afstand tot recreatief binnenwater (km)";"Verkeer en vervoer/Afstand tot oprit hoofdverkeersweg (km)";"Verkeer en vervoer/Treinstations/Afstand tot treinstations totaal (km)";"Verkeer en vervoer/Treinstations/Afstand tot belangrijk overstapstation (km)";"Vrije tijd en cultuur/Afstand tot bibliotheek (km)";"Vrije tijd en cultuur/Sport/Afstand tot binnenzwembad (km)";"Vrije tijd en cultuur/Sport/Afstand tot kunstijsbaan (km)";"Vrije tijd en cultuur/Museum/Afstand tot museum (km)";"Vrije tijd en cultuur/Museum/Aantal musea/Binnen 5 km (aantal)";"Vrije tijd en cultuur/Museum/Aantal musea/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Museum/Aantal musea/Binnen 20 km (aantal)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot podiumkunsten totaal (km)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 5 km (aantal)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 20 km (aantal)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot poppodium (km)";"Vrije tijd en cultuur/Bioscoop/Afstand tot bioscoop (km)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 5 km (aantal)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 20 km (aantal)";"Vrije tijd en cultuur/Recreatie/Afstand tot sauna (km)";"Vrije tijd en cultuur/Recreatie/Afstand tot zonnebank (km)";"Vrije tijd en cultuur/Recreatie/Afstand tot attractie (km)";"Vrije tijd en cultuur/Recreatie/Aantal attracties/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Recreatie/Aantal attracties/Binnen 20 km (aantal)";"Vrije tijd en cultuur/Recreatie/Aantal attracties/Binnen 50 km (aantal)"
"Amsterdam";"Amsterdam                               ";"Gemeente  ";"     0.6";"     3.0";"    28.0";"    66.8";"     3.3";"     0.7";"     2.6";"     2.0";"     5.4";"    12.9";"     3.1";"     1.5";"     4.3";"     9.5";"       .";"       .";"       .";"       .";"       .";"     0.6";"     3.8";"    34.6";"    84.0";"     0.5";"    19.5";"   192.4";"   472.5";"     0.8";"     9.8";"   119.0";"   301.8";"     0.4";"    14.6";"   162.4";"   409.8";"     0.4";"    34.4";"   389.6";"   964.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.2";"     2.9";"     3.9";"     1.4";"     2.3";"     7.4";"     2.5";"    19.9";"    42.2";"    63.0";"     1.7";"    18.2";"    42.4";"    61.5";"     3.5";"     2.8";"     5.7";"    12.5";"    19.1";"     2.5";"     2.0";"     3.2";"     5.2";"    13.8";"    60.5"
"Haarlemmerbuurt";"Amsterdam                               ";"Wijk      ";"     0.5";"     3.5";"    30.3";"    89.0";"     4.6";"     0.9";"     2.0";"     2.4";"     6.0";"    14.1";"     4.6";"     1.4";"     5.0";"    10.1";"       .";"       .";"       .";"       .";"       .";"     0.4";"     3.9";"    40.1";"   114.2";"     0.3";"    34.9";"   356.8";"   748.9";"     0.3";"    22.6";"   345.3";"   584.0";"     0.3";"    22.3";"   364.0";"   697.2";"     0.1";"    59.1";"   839.5";"  1661.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.4";"     1.7";"     1.7";"     1.3";"     1.4";"     6.9";"     1.3";"    39.8";"    47.0";"    65.9";"     0.7";"    32.3";"    46.9";"    65.5";"     2.6";"     0.9";"    10.9";"    15.3";"    20.7";"     1.5";"     0.8";"     3.6";"     6.1";"    13.9";"    61.8"
"Planciusbuurt-Noord";"Amsterdam                               ";"Buurt     ";"     0.8";"     3.8";"    28.0";"    77.8";"     4.5";"     0.6";"     2.4";"     2.0";"     6.0";"    14.7";"     4.5";"     1.0";"     5.0";"    10.7";"       .";"       .";"       .";"       .";"       .";"     0.3";"     5.7";"    39.4";"   101.5";"     0.4";"    36.0";"   320.8";"   699.6";"     0.4";"    19.9";"   297.0";"   567.4";"     0.3";"    15.4";"   328.5";"   661.2";"     0.1";"    53.7";"   743.1";"  1586.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.9";"     2.2";"     2.2";"     0.9";"     1.1";"     7.3";"     1.4";"    38.8";"    47.0";"    65.0";"     0.4";"    30.0";"    47.0";"    65.0";"     2.7";"     0.5";"    12.0";"    16.0";"    20.0";"     1.9";"     0.4";"     4.0";"     5.2";"    15.0";"    61.0"
"Westelijke eilanden";"Amsterdam                               ";"Buurt     ";"     0.9";"     1.5";"    26.9";"    75.6";"     4.8";"     0.9";"     2.4";"     1.9";"     6.0";"    14.1";"     4.8";"     0.9";"     5.0";"    10.1";"       .";"       .";"       .";"       .";"       .";"     0.6";"     3.0";"    33.8";"   100.7";"     0.5";"    19.3";"   294.6";"   683.2";"     0.5";"     9.3";"   268.6";"   558.8";"     0.5";"    12.4";"   292.7";"   655.0";"     0.2";"    28.7";"   660.7";"  1549.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.2";"     2.1";"     2.1";"     1.1";"     1.4";"     7.3";"     1.6";"    38.5";"    47.0";"    65.3";"     0.6";"    29.4";"    46.8";"    64.2";"     2.9";"     0.8";"    10.6";"    15.6";"    19.4";"     1.9";"     0.7";"     4.0";"     5.2";"    14.9";"    61.0"
"Westerdokseiland";"Amsterdam                               ";"Buurt     ";"     0.2";"     2.0";"    28.6";"    93.0";"     4.5";"     1.4";"     2.0";"     2.1";"     6.0";"    14.0";"     4.5";"     1.1";"     5.0";"    10.0";"       .";"       .";"       .";"       .";"       .";"     0.7";"     1.8";"    36.3";"   120.1";"     0.6";"    16.0";"   343.2";"   762.2";"     0.4";"    14.0";"   341.8";"   589.7";"     0.2";"    14.8";"   354.4";"   707.6";"     0.1";"    32.4";"   797.9";"  1674.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.8";"     1.3";"     1.3";"     1.7";"     1.8";"     6.5";"     1.4";"    40.0";"    47.0";"    66.0";"     0.9";"    33.0";"    47.2";"    65.0";"     2.8";"     1.4";"    10.7";"    15.3";"    21.0";"     1.5";"     1.3";"     3.2";"     6.5";"    11.0";"    62.0"
"Planciusbuurt-Zuid";"Amsterdam                               ";"Buurt     ";"     0.6";"     5.4";"    32.7";"    84.7";"     4.3";"     0.5";"     2.2";"     2.0";"     6.0";"    14.9";"     4.3";"     1.0";"     5.0";"    10.9";"       .";"       .";"       .";"       .";"       .";"     0.2";"     8.1";"    43.0";"   110.8";"     0.2";"    54.5";"   368.3";"   736.5";"     0.4";"    31.2";"   326.9";"   580.2";"     0.1";"    25.6";"   363.0";"   686.8";"     0.2";"    96.7";"   846.2";"  1647.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.7";"     2.1";"     2.1";"     0.6";"     0.9";"     7.3";"     1.1";"    39.9";"    47.0";"    66.0";"     0.4";"    32.0";"    47.8";"    65.5";"     2.5";"     0.4";"    12.0";"    16.0";"    20.0";"     1.7";"     0.4";"     3.7";"     5.9";"    15.8";"    61.8"
"Haarlemmerbuurt-West";"Amsterdam                               ";"Buurt     ";"     0.4";"     4.3";"    30.8";"    94.6";"     4.6";"     0.5";"     1.8";"     2.8";"     6.0";"    14.1";"     4.6";"     1.8";"     5.0";"    10.1";"       .";"       .";"       .";"       .";"       .";"     0.2";"     5.7";"    43.5";"   117.5";"     0.2";"    53.7";"   394.4";"   776.9";"     0.2";"    31.1";"   390.9";"   597.0";"     0.2";"    27.2";"   409.7";"   716.8";"     0.1";"    83.9";"   953.3";"  1707.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.3";"     1.7";"     1.7";"     1.2";"     1.2";"     6.8";"     1.0";"    40.6";"    47.0";"    66.2";"     0.6";"    33.9";"    46.6";"    66.5";"     2.4";"     0.6";"    11.1";"    15.1";"    21.3";"     1.3";"     0.6";"     3.6";"     6.6";"    15.0";"    61.8"
"Haarlemmerbuurt-Oost";"Amsterdam                               ";"Buurt     ";"     0.3";"     7.6";"    38.2";"   103.7";"     4.4";"     1.0";"     1.4";"     3.0";"     6.0";"    14.0";"     4.4";"     2.0";"     5.0";"    10.0";"       .";"       .";"       .";"       .";"       .";"     0.3";"     4.3";"    51.3";"   130.6";"     0.1";"    55.2";"   439.0";"   825.4";"     0.2";"    44.4";"   435.8";"   608.5";"     0.2";"    43.5";"   446.8";"   743.0";"     0.1";"   107.1";"  1071.0";"  1801.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.6";"     1.4";"     1.4";"     1.5";"     1.3";"     6.5";"     0.8";"    41.0";"    47.0";"    66.7";"     0.6";"    35.1";"    47.2";"    67.0";"     2.1";"     1.0";"    11.0";"    15.0";"    21.9";"     0.9";"     0.9";"     3.3";"     6.8";"    13.4";"    63.0"
"Jordaan";"Amsterdam                               ";"Wijk      ";"     0.4";"     6.2";"    49.0";"   104.4";"     3.7";"     0.5";"     1.5";"     2.8";"     6.0";"    13.4";"     3.7";"     1.8";"     5.0";"    10.0";"       .";"       .";"       .";"       .";"       .";"     0.4";"     6.8";"    62.8";"   135.5";"     0.2";"    67.2";"   524.8";"   850.1";"     0.2";"    51.2";"   465.9";"   609.3";"     0.2";"    45.1";"   505.1";"   765.9";"     0.1";"   139.1";"  1215.0";"  1843.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.2";"     2.4";"     2.4";"     1.1";"     0.8";"     7.0";"     0.6";"    41.6";"    47.3";"    66.8";"     0.6";"    35.9";"    49.5";"    65.9";"     1.5";"     1.1";"    11.8";"    14.7";"    20.8";"     1.1";"     0.8";"     3.2";"     6.8";"    14.4";"    62.7"
"Marnixbuurt-Noord";"Amsterdam                               ";"Buurt     ";"     0.5";"     6.5";"    39.5";"    92.4";"     3.8";"     0.6";"     2.0";"     2.2";"     6.0";"    14.2";"     3.8";"     1.2";"     5.0";"    10.2";"       .";"       .";"       .";"       .";"       .";"     0.5";"     8.2";"    50.1";"   119.4";"     0.2";"    65.4";"   430.8";"   785.8";"     0.3";"    39.2";"   378.5";"   592.0";"     0.3";"    29.5";"   414.9";"   722.8";"     0.1";"   112.6";"   988.4";"  1742.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.0";"     2.2";"     2.2";"     0.8";"     0.4";"     7.3";"     0.9";"    39.9";"    47.3";"    66.0";"     0.7";"    34.4";"    49.4";"    65.0";"     2.0";"     0.8";"    12.0";"    15.5";"    20.0";"     1.6";"     0.7";"     3.2";"     6.0";"    16.0";"    62.0"
"Driehoekbuurt";"Amsterdam                               ";"Buurt     ";"     0.3";"     4.9";"    33.3";"    92.4";"     4.2";"     0.4";"     1.8";"     2.3";"     6.0";"    14.0";"     4.2";"     1.3";"     5.0";"    10.0";"       .";"       .";"       .";"       .";"       .";"     0.4";"     6.0";"    46.3";"   118.5";"     0.2";"    64.8";"   413.3";"   783.7";"     0.2";"    37.8";"   397.1";"   594.7";"     0.3";"    29.2";"   420.1";"   721.7";"     0.1";"   108.6";"   987.5";"  1723.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.5";"     1.9";"     1.9";"     1.3";"     0.8";"     7.0";"     0.7";"    41.3";"    47.0";"    66.7";"     0.8";"    34.3";"    47.1";"    66.3";"     2.2";"     1.0";"    11.1";"    15.0";"    21.0";"     1.3";"     0.9";"     3.6";"     6.1";"    14.0";"    61.8"
"Anjeliersbuurt-Noord";"Amsterdam                               ";"Buurt     ";"     0.4";"     5.1";"    38.5";"    94.6";"     4.0";"     0.3";"     1.7";"     2.7";"     6.0";"    13.8";"     4.0";"     1.7";"     5.0";"    10.0";"       .";"       .";"       .";"       .";"       .";"     0.3";"     4.9";"    49.7";"   120.5";"     0.1";"    60.2";"   445.9";"   797.4";"     0.1";"    38.6";"   416.1";"   594.4";"     0.2";"    27.4";"   441.9";"   728.8";"     0.1";"   106.4";"  1043.0";"  1753.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.4";"     2.0";"     2.0";"     1.1";"     0.5";"     7.2";"     0.4";"    41.1";"    46.8";"    66.5";"     0.9";"    34.5";"    47.4";"    65.6";"     2.0";"     1.3";"    11.5";"    15.0";"    20.5";"     1.4";"     0.9";"     3.4";"     6.1";"    14.8";"    61.8"
"Zaagpoortbuurt";"Amsterdam                               ";"Buurt     ";"     0.4";"     8.6";"    53.4";"   104.7";"     3.3";"     0.4";"     1.6";"     3.0";"     6.0";"    13.4";"     3.3";"     2.0";"     5.0";"     9.4";"       .";"       .";"       .";"       .";"       .";"     0.6";"     7.8";"    66.2";"   138.7";"     0.3";"    70.1";"   543.5";"   847.4";"     0.2";"    55.3";"   463.7";"   608.2";"     0.4";"    39.0";"   518.1";"   764.7";"     0.1";"   136.1";"  1217.0";"  1851.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.7";"     2.6";"     2.6";"     0.8";"     0.2";"     7.3";"     0.7";"    41.8";"    48.0";"    66.8";"     0.7";"    36.0";"    50.3";"    65.0";"     1.4";"     1.2";"    12.0";"    15.0";"    20.0";"     1.3";"     1.0";"     2.7";"     6.1";"    16.0";"    63.0"
"Anjeliersbuurt-Zuid";"Amsterdam                               ";"Buurt     ";"     0.5";"     5.7";"    43.0";"    97.4";"     3.9";"     0.4";"     1.5";"     3.0";"     6.0";"    13.4";"     3.9";"     2.0";"     5.0";"     9.9";"       .";"       .";"       .";"       .";"       .";"     0.4";"     4.2";"    53.9";"   127.0";"     0.2";"    53.4";"   481.9";"   817.9";"     0.2";"    39.1";"   449.3";"   597.1";"     0.2";"    31.9";"   476.1";"   737.6";"     0.1";"   102.8";"  1125.0";"  1791.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.3";"     2.3";"     2.3";"     1.1";"     0.5";"     7.3";"     0.5";"    41.7";"    46.5";"    66.2";"     0.9";"    35.4";"    47.9";"    65.2";"     1.8";"     1.4";"    11.9";"    14.7";"    20.2";"     1.3";"     0.6";"     3.3";"     6.0";"    14.9";"    61.7"
"Marnixbuurt-Midden";"Amsterdam                               ";"Buurt     ";"     0.2";"     8.9";"    60.3";"   115.2";"     3.0";"     0.2";"     1.4";"     3.0";"     6.0";"    13.0";"     3.0";"     2.0";"     5.0";"    10.0";"       .";"       .";"       .";"       .";"       .";"     0.5";"    11.1";"    79.9";"   145.6";"     0.2";"    81.1";"   608.7";"   890.6";"     0.0";"    57.8";"   509.5";"   621.6";"     0.1";"    56.7";"   577.9";"   795.5";"     0.1";"   153.4";"  1377.0";"  1922.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.5";"     2.8";"     2.8";"     1.1";"     0.6";"     7.0";"     0.6";"    42.0";"    48.0";"    67.0";"     0.4";"    36.6";"    50.6";"    65.0";"     1.1";"     1.1";"    12.0";"    14.0";"    20.0";"     0.9";"     1.0";"     2.5";"     8.0";"    16.6";"    63.6"
"Bloemgrachtbuurt";"Amsterdam                               ";"Buurt     ";"     0.4";"     8.0";"    53.7";"   108.8";"     3.5";"     0.4";"     1.2";"     3.0";"     6.0";"    13.0";"     3.5";"     2.0";"     5.0";"    10.0";"       .";"       .";"       .";"       .";"       .";"     0.5";"     6.7";"    67.7";"   142.6";"     0.2";"    69.4";"   556.6";"   873.9";"     0.1";"    53.8";"   492.0";"   616.5";"     0.2";"    57.5";"   535.9";"   780.1";"     0.2";"   133.2";"  1278.0";"  1876.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.9";"     2.5";"     2.5";"     1.3";"     0.7";"     7.0";"     0.3";"    41.9";"    47.0";"    67.1";"     0.5";"    36.4";"    49.7";"    66.1";"     1.4";"     1.3";"    11.9";"    14.1";"    21.0";"     1.0";"     0.6";"     2.9";"     7.0";"    15.3";"    62.6"
"Groenmarktkadebuurt";"Amsterdam                               ";"Buurt     ";"     0.4";"     7.2";"    57.8";"   114.3";"     3.3";"     0.6";"     1.5";"     3.0";"     6.0";"    13.0";"     3.3";"     2.0";"     5.0";"    10.0";"       .";"       .";"       .";"       .";"       .";"     0.6";"     9.6";"    78.1";"   148.3";"     0.2";"    67.6";"   614.8";"   896.8";"     0.1";"    60.1";"   517.5";"   622.3";"     0.2";"    50.8";"   575.3";"   807.0";"     0.2";"   143.2";"  1396.0";"  1935.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.9";"     2.9";"     2.9";"     1.0";"     1.0";"     6.8";"     0.8";"    42.0";"    48.0";"    67.0";"     0.5";"    37.0";"    51.0";"    65.3";"     0.9";"     0.9";"    12.0";"    14.0";"    20.0";"     0.8";"     1.1";"     2.9";"     8.0";"    15.1";"    64.0"
"Marnixbuurt-Zuid";"Amsterdam                               ";"Buurt     ";"     0.1";"     5.2";"    67.8";"   123.1";"     3.5";"     0.6";"     1.6";"     3.4";"     6.5";"    13.0";"     3.5";"     2.4";"     5.5";"    10.0";"       .";"       .";"       .";"       .";"       .";"     0.5";"    11.2";"    84.3";"   161.6";"     0.4";"    78.7";"   657.9";"   957.3";"     0.2";"    74.9";"   546.8";"   633.9";"     0.3";"    63.6";"   600.5";"   834.2";"     0.2";"   244.2";"  1516.0";"  2002.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.1";"     3.0";"     3.0";"     1.0";"     1.3";"     6.2";"     0.6";"    42.0";"    48.0";"    68.0";"     0.1";"    38.0";"    53.0";"    67.0";"     0.3";"     0.3";"    11.8";"    15.0";"    21.9";"     0.7";"     0.7";"     3.2";"     8.0";"    12.0";"    63.7"
"Elandsgrachtbuurt";"Amsterdam                               ";"Buurt     ";"     0.5";"     6.3";"    59.0";"   114.4";"     3.5";"     0.6";"     1.4";"     3.0";"     6.0";"    13.0";"     3.5";"     2.0";"     5.0";"    10.0";"       .";"       .";"       .";"       .";"       .";"     0.4";"     7.6";"    76.3";"   148.1";"     0.2";"    72.9";"   611.0";"   901.8";"     0.1";"    63.7";"   521.1";"   624.5";"     0.2";"    61.8";"   572.0";"   807.0";"     0.1";"   170.6";"  1407.0";"  1938.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.2";"     2.8";"     2.8";"     1.1";"     1.2";"     6.7";"     0.7";"    42.0";"    47.9";"    67.2";"     0.4";"    37.2";"    51.5";"    66.4";"     0.9";"     0.9";"    12.0";"    14.4";"    21.2";"     0.8";"     1.0";"     3.1";"     8.0";"    13.4";"    63.9"
"Passeerdersgrachtbuurt";"Amsterdam                               ";"Buurt     ";"     0.3";"     4.3";"    66.6";"   121.8";"     3.4";"     0.5";"     1.3";"     3.0";"     6.0";"    13.0";"     3.4";"     2.0";"     5.0";"    10.0";"       .";"       .";"       .";"       .";"       .";"     0.5";"     9.9";"    83.2";"   160.6";"     0.3";"    89.4";"   646.4";"   950.1";"     0.2";"    83.5";"   546.7";"   633.9";"     0.3";"    69.7";"   599.3";"   831.8";"     0.1";"   253.8";"  1507.0";"  1999.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.3";"     2.8";"     2.8";"     1.1";"     1.3";"     6.1";"     0.5";"    42.0";"    48.0";"    67.3";"     0.3";"    38.0";"    53.0";"    67.0";"     0.4";"     0.4";"    11.5";"    15.0";"    22.0";"     0.9";"     0.7";"     3.0";"     8.0";"    12.1";"    63.6"
"Grachtengordel-West";"Amsterdam                               ";"Wijk      ";"     0.4";"     6.9";"    48.9";"   112.4";"     3.9";"     0.7";"     1.0";"     3.0";"     6.0";"    13.1";"     3.9";"     2.0";"     5.0";"    10.0";"       .";"       .";"       .";"       .";"       .";"     0.4";"     5.6";"    65.0";"   143.6";"     0.2";"    80.1";"   533.6";"   883.6";"     0.2";"    63.9";"   487.9";"   620.9";"     0.2";"    73.3";"   523.3";"   782.4";"     0.2";"   159.9";"  1270.0";"  1890.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.6";"     2.0";"     2.0";"     1.6";"     1.2";"     6.5";"     0.5";"    41.8";"    46.9";"    67.0";"     0.5";"    36.8";"    50.2";"    66.8";"     1.4";"     1.2";"    11.2";"    14.5";"    21.7";"     0.6";"     0.8";"     3.2";"     7.5";"    12.2";"    62.9"
"Langestraat e.o.";"Amsterdam                               ";"Buurt     ";"     0.3";"     6.6";"    39.7";"   104.8";"     4.4";"     0.9";"     1.2";"     3.0";"     6.0";"    13.3";"     4.4";"     2.0";"     5.0";"    10.0";"       .";"       .";"       .";"       .";"       .";"     0.5";"     4.2";"    52.8";"   132.2";"     0.2";"    55.5";"   457.1";"   838.2";"     0.2";"    42.3";"   444.8";"   609.3";"     0.3";"    46.7";"   460.6";"   748.6";"     0.2";"   102.3";"  1103.0";"  1811.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.8";"     1.6";"     1.6";"     1.7";"     1.2";"     6.7";"     0.6";"    41.3";"    46.3";"    67.0";"     0.5";"    35.5";"    47.3";"    66.9";"     1.9";"     1.3";"    11.0";"    14.4";"    21.7";"     0.7";"     1.0";"     3.4";"     6.9";"    12.3";"    62.6"
